Geneid	expr	quartile
DDX11L1	0	0
WASH7P	182	2
MIR6859-3	0	0
MIR6859-2	0	0
MIR6859-1	0	0
MIR6859-4	0	0
MIR1302-2	0	0
MIR1302-11	0	0
MIR1302-9	0	0
MIR1302-10	0	0
FAM138A	0	0
FAM138C	0	0
FAM138F	0	0
OR4F5	0	0
LOC729737	0	0
FAM138D	0	0
OR4F29	0	0
OR4F3	0	0
OR4F16	0	0
LOC100132287	0	0
LOC100132062	0	0
LOC101928626	2	1
MIR6723	60	2
LOC100133331	11	1
LOC100288069	16	1
FAM87B	3	1
LINC00115	10	1
LINC01128	198	2
FAM41C	0	0
LOC100130417	14	1
SAMD11	32	1
NOC2L	2713	4
KLHL17	415	2
PLEKHN1	245	2
PERM1	100	2
HES4	905	3
ISG15	13680	4
AGRN	18928	4
RNF223	0	0
C1orf159	327	2
LINC01342	0	0
MIR200B	0	0
MIR200A	0	0
MIR429	0	0
TTLL10	0	0
TNFRSF18	0	0
TNFRSF4	0	0
SDF4	5843	4
B3GALT6	1110	3
FAM132A	19	1
UBE2J2	1366	3
SCNN1D	46	2
ACAP3	846	3
MIR6726	0	0
PUSL1	403	2
CPSF3L	1314	3
MIR6727	0	0
CPTP	508	2
TAS1R3	14	1
DVL1	2948	4
MIR6808	0	0
MXRA8	6740	4
AURKAIP1	2109	4
CCNL2	1217	3
LOC148413	169	2
MRPL20	1032	3
ANKRD65	0	0
TMEM88B	0	0
LOC102724312	0	0
VWA1	0	0
ATAD3C	1	1
ATAD3B	1000	3
ATAD3A	1782	3
TMEM240	11	1
SSU72	1589	3
C1orf233	0	0
MIB2	410	2
MMP23B	0	0
MMP23A	0	0
CDK11B	944	3
SLC35E2B	387	2
CDK11A	470	2
SLC35E2	488	2
NADK	1336	3
GNB1	11329	4
CALML6	0	0
TMEM52	0	0
CFAP74	0	0
GABRD	0	0
PRKCZ	1	1
FAAP20	657	3
SKI	1986	3
MORN1	85	2
LOC100129534	2	1
RER1	2987	4
PEX10	311	2
PLCH2	2	1
PANK4	758	3
HES5	0	0
LOC115110	0	0
TNFRSF14	108	2
LOC100996583	0	0
FAM213B	644	3
MMEL1	0	0
TTC34	0	0
ACTRT2	0	0
LINC00982	0	0
PRDM16	0	0
MIR4251	0	0
ARHGEF16	2	1
MEGF6	2228	4
MIR551A	0	0
TPRG1L	1125	3
WRAP73	285	2
TP73	2	1
TP73-AS1	118	2
CCDC27	0	0
SMIM1	0	0
LRRC47	1133	3
CEP104	574	2
DFFB	92	2
C1orf174	448	2
LINC01134	6	1
LINC01346	0	0
LOC284661	0	0
AJAP1	0	0
MIR4417	0	0
MIR4689	0	0
NPHP4	340	2
KCNAB2	122	2
CHD5	0	0
RPL22	4003	4
LOC102724450	0	0
RNF207	0	0
ICMT	5421	4
LINC00337	0	0
HES3	0	0
GPR153	183	2
ACOT7	1276	3
HES2	0	0
ESPN	0	0
MIR4252	0	0
TNFRSF25	71	2
PLEKHG5	368	2
NOL9	515	2
TAS1R1	0	0
ZBTB48	133	2
KLHL21	1205	3
PHF13	806	3
THAP3	267	2
DNAJC11	765	3
LOC100505887	0	0
CAMTA1	464	2
VAMP3	2990	4
PER3	176	2
UTS2	0	0
TNFRSF9	0	0
PARK7	3714	4
ERRFI1	266	2
LOC102724539	0	0
SLC45A1	16	1
RERE	896	3
LOC102724552	0	0
ENO1	39249	4
MIR6728	0	0
ENO1-AS1	6	1
CA6	0	0
SLC2A7	0	0
SLC2A5	0	0
GPR157	47	2
MIR34A	3	1
H6PD	1786	3
SPSB1	738	3
LOC100506022	4	1
SLC25A33	430	2
TMEM201	1099	3
PIK3CD	1156	3
PIK3CD-AS1	0	0
PIK3CD-AS2	0	0
CLSTN1	7707	4
CTNNBIP1	613	3
LZIC	1043	3
NMNAT1	541	2
MIR5697	0	0
RBP7	0	0
UBE4B	1743	3
KIF1B	2568	4
MIR1273D	0	0
RNU6-1	0	0
RNU6-2	0	0
RNU6-7	0	0
RNU6-9	0	0
RNU6-8	0	0
PGD	14096	4
APITD1-CORT	0	0
APITD1	95	2
CORT	1	1
DFFA	1530	3
PEX14	879	3
CASZ1	21	1
C1orf127	0	0
TARDBP	6231	4
MASP2	24	1
SRM	4283	4
EXOSC10	3862	4
MTOR	3189	4
MTOR-AS1	0	0
ANGPTL7	0	0
UBIAD1	960	3
PTCHD2	0	0
LOC101929181	0	0
FBXO2	2	1
FBXO44	74	2
FBXO6	282	2
MAD2L2	1813	3
DRAXIN	0	0
AGTRAP	2800	4
C1orf167	6	1
LOC102724659	0	0
MTHFR	548	2
CLCN6	428	2
NPPA-AS1	6	1
NPPA	7	1
NPPB	1	1
RNU5E-1	0	0
KIAA2013	3374	4
PLOD1	10731	4
MFN2	6098	4
MIIP	512	2
MIR6729	0	0
TNFRSF8	0	0
MIR7846	0	0
